0inux 5.19.0-46-generic (ArielK-Yoga) 	29/07/23 	_x86_64_	(8 CPU)

11:33:14      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:33:14        0     36325    0.00    0.00    0.00    0.00    0.00     6  kworker/6:1-events
11:33:14        0     36591    0.00    0.00    0.00    0.00    0.00     6  kworker/6:2-events
11:33:14     1000     36608    0.00    0.00    0.00    0.00    0.00     3  brave
11:33:14     1000     36622    0.00    0.00    0.00    0.00    0.00     5  brave
11:33:14     1000     36633    0.00    0.00    0.00    0.00    0.00     5  brave
11:33:14     1000     36646    0.00    0.00    0.00    0.00    0.00     3  brave
11:33:14        0     36789    0.00    0.00    0.00    0.00    0.00     6  kworker/6:3-events
11:33:14     1000     36877    0.00    0.00    0.00    0.00    0.00     3  OpenDebugAD7
11:33:14     1000     36895    0.00    0.00    0.00    0.00    0.00     1  gdb
11:33:14     1000     36907    0.00    0.00    0.00    0.00    0.00     4  code
11:33:14     1000     36939    0.00    0.00    0.00    0.00    0.00     4  pidstat
